"","GWAS_Catalog_2019.Term","GWAS_Catalog_2019.Overlap","GWAS_Catalog_2019.P.value","GWAS_Catalog_2019.Adjusted.P.value","GWAS_Catalog_2019.Old.P.value","GWAS_Catalog_2019.Old.Adjusted.P.value","GWAS_Catalog_2019.Odds.Ratio","GWAS_Catalog_2019.Combined.Score","GWAS_Catalog_2019.Genes"
"196","Systemic sclerosis","1/68",0.289243789255229,0.37040913828093,0,0,2.99004975124378,3.70911301693322,"MYT1L"
"197","Myopia","1/70",0.296357876203525,0.375685994581236,0,0,2.9030888596106,3.53070042231205,"RBFOX1"
"198","Glucose homeostasis traits","1/70",0.296357876203525,0.375685994581236,0,0,2.9030888596106,3.53070042231205,"MYT1L"
"199","Stroke","1/73",0.306897033111884,0.385664280748104,0,0,2.78170594837262,3.28587063696556,"ANK2"
"200","Prostate cancer (SNP x SNP interaction)","1/74",0.310375237892897,0.385664280748104,0,0,2.74346201743462,3.20977722405069,"ANK2"
"201","Chin dimples","1/74",0.310375237892897,0.385664280748104,0,0,2.74346201743462,3.20977722405069,"TCF4"
"202","Small cell lung carcinoma","1/74",0.310375237892897,0.385664280748104,0,0,2.74346201743462,3.20977722405069,"BAG6"
"203","Waist circumference","1/75",0.313836161648445,0.388043726964334,0,0,2.70625170625171,3.13623236372496,"ANKS1B"
"204","Glaucoma (primary open-angle)","1/76",0.317279889350664,0.390378687387337,0,0,2.67003367003367,3.0651211233087,"MADD"
"205","Type 2 diabetes","3/397",0.319188237565425,0.390763751918617,0,0,1.53116332618138,1.74854911220084,"RBFOX1;ZBTB20;CAMK2G"
"206","Nasopharyngeal carcinoma (SNP x SNP interaction)","1/77",0.320706505558706,0.390763751918617,0,0,2.6347687400319,2.99633512170869,"RBFOX1"
"207","Extremely high intelligence","1/78",0.324116094429913,0.391788955502582,0,0,2.60041978223796,2.92977207832515,"ATXN2L"
"208","Intraocular pressure","3/401",0.324669732049949,0.391788955502582,0,0,1.51546391752577,1.70481631851278,"TCF4;KALRN;OXR1"
"209","Eyebrow thickness","1/80",0.330884524972772,0.395485789372218,0,0,2.5343306482547,2.80293378962301,"FASTK"
"210","Body mass index in physically active individuals","1/80",0.330884524972772,0.395485789372218,0,0,2.5343306482547,2.80293378962301,"ATXN2L"
"211","Chronic kidney disease","1/81",0.334243532854352,0.395731729936049,0,0,2.50252525252525,2.74248091594401,"MADD"
"212","Cognitive ability (MTAG)","1/81",0.334243532854352,0.395731729936049,0,0,2.50252525252525,2.74248091594401,"ATXN2L"
"213","Waist-to-hip ratio adjusted for BMI (age >50)","2/250",0.356138695932175,0.419675176896601,0,0,1.61718235681369,1.66963571294996,"PCBP2;HNRNPA2B1"
"214","Regular attendance at a religious group","1/89",0.360521436424534,0.422854581974571,0,0,2.27410468319559,2.32005037808893,"TCF4"
"215","Type 1 diabetes","1/91",0.366928825262423,0.426384884911427,0,0,2.22334455667789,2.22909720803597,"MEG3"
"216","Body mass index (joint analysis main effects and physical activity interaction)","1/91",0.366928825262423,0.426384884911427,0,0,2.22334455667789,2.22909720803597,"ATXN2L"
"217","Cognitive function","1/92",0.370108643786799,0.428098016546021,0,0,2.1988011988012,2.18551754723327,"ABLIM2"
"218","Inflammatory skin disease","1/93",0.373272649434986,0.429777224808172,0,0,2.1747913921827,2.14313983216348,"MYT1L"
"219","Blood pressure","1/98",0.388858196397513,0.445677658884821,0,0,2.06216807247735,1.94780133547852,"MAP4"
"220","Ulcerative colitis","3/456",0.399675686196134,0.455993623796498,0,0,1.32771215948658,1.21764727142249,"BAG6;CAMTA1;ATP6V0A1"
"221","Mean arterial pressure","1/110",0.424715362613925,0.482369031747037,0,0,1.83402835696414,1.57054463447437,"MAP4"
"222","Metabolite levels","1/111",0.427607687964041,0.483466349905289,0,0,1.81726354453627,1.54385464626272,"ATP2B2"
"223","Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)","1/112",0.43048561638067,0.48453762202488,0,0,1.8008008008008,1.51778940882089,"MYT1L"
"224","Neutrophil percentage of white cells","1/113",0.433349218837219,0.485583276464919,0,0,1.78463203463203,1.4923295915181,"KDM4B"
"225","Cognitive performance","1/116",0.441854774426629,0.492913548360373,0,0,1.73781291172596,1.41940043016639,"NCALD"
"226","QT interval","1/117",0.444661775482094,0.493850024982326,0,0,1.72274468826193,1.39618351518444,"NDRG4"
"227","Immature fraction of reticulocytes","1/125",0.46662037707619,0.515589832176534,0,0,1.61094819159335,1.22792793965158,"RAP1GAP"
"228","Heel bone mineral density","5/898",0.468344548749999,0.515589832176534,0,0,1.12023339423587,0.849754204739507,"HDAC5;DLG1;TCF4;RAP1GAP;GTF2I"
"229","Psoriasis","1/127",0.471974339207137,0.517316852144067,0,0,1.58521725188392,1.19022971699885,"CAMK2G"
"230","Lymphocyte percentage of white cells","1/129",0.477275091201804,0.52085238213762,0,0,1.5602904040404,1.15408790031601,"KDM4B"
"231","Rosacea symptom severity","1/141",0.507991154544595,0.551973072686984,0,0,1.42568542568543,0.965604255328444,"CAMTA1"
"232","Pulse pressure","3/567",0.542165851476373,0.585900969170538,0,0,1.06032024566791,0.649110373893653,"CELF2;MCF2L;MAP4"
"233","Diverticular disease","1/156",0.54388416660054,0.585900969170538,0,0,1.28673835125448,0.783648083151441,"EPB41L3"
"234","Platelet count","2/366",0.548882198792216,0.586252901688708,0,0,1.09531285041489,0.657046890964472,"KALRN;SEPT5"
"235","Intelligence (MTAG)","2/366",0.548882198792216,0.586252901688708,0,0,1.09531285041489,0.657046890964472,"ATXN2L;RBFOX1"
"236","High light scatter reticulocyte count","1/172",0.579315294925896,0.613536451588185,0,0,1.16539665662473,0.636199822786287,"RAP1GAP"
"237","High light scatter reticulocyte percentage of red cells","1/172",0.579315294925896,0.613536451588185,0,0,1.16539665662473,0.636199822786287,"RAP1GAP"
"238","Amyotrophic lateral sclerosis (sporadic)","1/182",0.600061436523133,0.631774798096453,0,0,1.10045203415369,0.562026422628181,"ATP2B2"
"239","Triglycerides","1/184",0.604087456347206,0.631774798096453,0,0,1.0883148424132,0.548550182326374,"R3HDM2"
"240","Parkinson's disease","1/184",0.604087456347206,0.631774798096453,0,0,1.0883148424132,0.548550182326374,"ANK2"
"241","Macular thickness","1/191",0.61786511263861,0.640843567240872,0,0,1.04784688995215,0.504522674743158,"SNAP91"
"242","Spherical equivalent or myopia (age of diagnosis)","1/191",0.61786511263861,0.640843567240872,0,0,1.04784688995215,0.504522674743158,"RBFOX1"
"243","Bipolar disorder","1/194",0.623623508089245,0.644154323170373,0,0,1.03140210394096,0.487036783799698,"ARNT2"
"244","White blood cell count","1/227",0.681565454039565,0.701118561327586,0,0,0.879324215607401,0.337100359049175,"THRA"
"245","Plateletcrit","1/231",0.687959009576293,0.704806985321018,0,0,0.863855950812473,0.323104604801154,"KALRN"
"246","HDL cholesterol","1/238",0.698843373301633,0.713047506905325,0,0,0.83804287601756,0.300294759320438,"MADD"
"247","Male-pattern baldness","1/251",0.718069410588866,0.729698065011358,0,0,0.793939393939394,0.262944027663575,"TCF4"
"248","Mean corpuscular hemoglobin","1/336",0.817043887452387,0.826927482865118,0,0,0.589929142167948,0.11920253826581,"PTK2"
"249","Prostate cancer","1/399",0.867372925472474,0.874339776279482,0,0,0.494949494949495,0.0704245132657521,"TCF4"
"250","Coronary artery disease","1/433",0.888559328285823,0.892113565598966,0,0,0.455200149644594,0.0537836547902817,"MCF2L"
"251","Blood protein levels","5/2091",0.983134732484944,0.983134732484944,0,0,0.449462582631074,0.00764495656669175,"BAG6;BCAN;ASPH;NRCAM;R3HDM2"
